X,Y,osm_id,code,fclass,name,Diff,icon_url
-3.733627,5.206645,"3151569704","3300",muslim,Grande Mosquée de Grand-Bassam,Mosquee,./1.png
-3.9665432,5.3575381,"3159196113","3100",christian,Église du Nazaréen,Eglise,./0.png
-4.0143038,5.4267573,"3172033771","3100",christian,Église Universelle,Eglise,./0.png
-3.9764604,5.3075116,"3174960716","3300",muslim,Magic System,Mosquee,./1.png
-4.026431,5.3603613,"3177106069","3300",muslim,,Mosquee,./1.png
-4.0221549,5.356073,"3177106078","3300",muslim,As Sahaba,Mosquee,./1.png
-3.9913438,5.4046439,"3178562392","3100",christian,Église Baptiste d’Angré,Eglise,./0.png
-3.9761387,5.3085497,"3183124795","3103",christian_evangelical,CESA,Eglise,./0.png
-3.9746275,5.3068645,"3183124797","3100",christian,Église Harriste,Eglise,./0.png
-3.970543,5.3114142,"3183124802","3100",christian,Temple Temoin de Jeovah,Eglise,./0.png
-3.9763569,5.3018934,"3198578933","3100",christian,,Eglise,./0.png
-3.9679754,5.3081424,"3202308751","3100",christian,Oeuvre et Mission,Eglise,./0.png
-3.9663124,5.3087834,"3202358724","3300",muslim,,Mosquee,./1.png
-3.9705794,5.3108194,"3202385288","3300",muslim,,Mosquee,./1.png
-3.9434869,5.3098592,"3218806158","3102",christian_catholic,Paroisse Saint Joseph de Koumassi,Eglise,./0.png
-2.7968584,8.0392511,"3237770271","3300",muslim,Grande mosquée,Mosquee,./1.png
-4.0182704,5.4263655,"3281935296","3300",muslim,,Mosquee,./1.png
-4.0073676,5.4198391,"3282093091","3300",muslim,,Mosquee,./1.png
-3.9988739,5.4096649,"3282196086","3100",christian,,Eglise,./0.png
-4.0003141,5.4126503,"3282236356","3100",christian,,Eglise,./0.png
-3.9488015,5.311671,"3283752503","3100",christian,Église de Pentecôte Internationale,Eglise,./0.png
-4.0111421,5.4209208,"3284931348","3100",christian,Assemblée de Dieu,Eglise,./0.png
-4.0133412,5.4189018,"3284931353","3300",muslim,Mosquée Petro Ivoire,Mosquee,./1.png
-4.0609629,5.4464922,"3291128402","3300",muslim,,Mosquee,./1.png
-3.6210482,5.2468339,"3294652888","3103",christian_evangelical,Église Assemblée de Dieu,Eglise,./0.png
-3.6180507,5.2455355,"3294672961","3103",christian_evangelical,Église Evangelique de reveil international Yaou,Eglise,./0.png
-3.6211419,5.2427695,"3294680768","3102",christian_catholic,Église Saint Pierre de Yaou,Eglise,./0.png
-3.6289169,5.2474501,"3294739915","3102",christian_catholic,Église Catholique St André Yaou,Eglise,./0.png
-3.6262827,5.2433542,"3294741140","3100",christian,temple Emmanuel de yaou,Eglise,./0.png
-3.6310272,5.2430075,"3296328684","3100",christian,Christianisme Celeste,Eglise,./0.png
-5.5860361,5.1022848,"3319183279","3100",christian,Église Immaculée de Fresco,Eglise,./0.png
-3.976279,5.3362805,"3326432018","3102",christian_catholic,Paroisse Notre-Dame de la Tendresse,Eglise,./0.png
