X,Y,ID,PARTS,NOM,CODE,CLASSIF,SOUS_PREF,DEPART,REGION,icon_url
-3.21629631093021,7.83361356374137,"4347","1",TANGAMOUROU,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.24572903051071,7.8337311386534,"4348","1",KASSOUTRI,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.1516410913965,7.83194997123331,"4349","1",MANTOUKOUA (KOUADIO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.33309487572867,7.830170273757,"4350","1",BASSAPOUNOU,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.92556818225018,7.82693480392694,"4351","1",YOMIAN,"1","1",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.11381348751608,7.82444497631242,"4352","1",BELEOULE,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.06373691541534,7.82416124464509,"4353","1",LEKOCODI,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.95351835831912,7.82322981943918,"4354","1",BAKOUTIE,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.30026396021416,7.8211740105586,"4355","1",KANTON,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.52671930506685,7.81666109636678,"4356","1",KOUASSI DATEKRO,"3","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.87397677640948,7.82057874896599,"4357","1",MANANZO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.38327617378811,7.8192584336074,"4358","1",KOUASSI KODJOKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.85486033177996,7.81816845859377,"4359","1",KEREBIO KESSIE,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-2.94656613161488,7.81343682075895,"4360","1",DADIASSE,"2","1",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.16384934314224,7.80212744033347,"4361","1",TANDA,"4","1",TANDA,TANDA,ZANZAN,./0.png
-3.65836714964728,7.81435593245568,"4362","1",KOFFIKOKOREKRO/KOFFI,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.34320559076853,7.8126116858146,"4363","1",KOUADIO BANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.31194960281595,7.81001582396656,"4364","1",DIAMBA,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.89828472499787,7.81163070627212,"4365","1",KOFFI NGUETTIAKRO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-2.89828154325803,7.8101370471809,"4366","1",YAO DONGOKRO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.10863642312526,7.80797568419972,"4367","1",BAKOTIA YAO FIENI,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.37609404791696,7.80740178889733,"4368","1",YAO BANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.39923965552377,7.80717167987065,"4369","1",GBARIKO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.8843696493876,7.80452377375285,"4370","1",YAKASSE AKIDOM,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.26710915762317,7.80466754338041,"4371","1",BRAHIMAN,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.8639209795658,7.80343504387886,"4372","1",KEREBIO-ADOUMKROM (A,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.15180179240063,7.8024739703089,"4373","1",BOKORE (GBOKORE),"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.028730576024,7.80009747381329,"4374","1",NAO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.24610593051029,7.80016852772376,"4375","1",KOUADIO KOUMANKOUTOU,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.43936757683617,7.79411728711872,"4376","1",TIEFIMBOURA,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.91255957389096,7.79408792405603,"4377","1",KOBENAN KOUMA,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.28548850887312,7.79156948154755,"4378","1",KOUASSI TCHERIFFO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.94013528197968,7.79008210818918,"4379","1",KOUAKOU BADOUGOU,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-2.96563110397164,7.78930192895915,"4380","1",ASSUAMAKRO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-2.91827001281918,7.78803668619781,"4381","1",KAPINDA,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.69012815641484,7.78414609730345,"4382","1",KOTRONOU,"2","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.90634159502273,7.78235666946025,"4383","1",KOUAME NGUETTIAKRO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.20491162978306,7.77919566186702,"4384","1",TOUNDIANI,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.86529346085367,7.78065691691713,"4385","1",KEREBIO DOMIAMBRA,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
