X,Y,NOM,TYPE,X_COORD,Y_COORD,Diff,icon_url
-3.97401578368539,5.29558964679482,Epp Marcory Sicogi Est 3,Primaire,392070.81025,585423.15163,Primaire,./0.png
-3.98398425596389,5.2995990047591,Epp Biaka Boda,Primaire,390966.81517,585868.15106,Primaire,./0.png
-3.97199235829427,5.27105314528788,Epp Koumassi Bietry,Primaire,392290.80639,582710.16229,Primaire,./0.png
-3.97925845674096,5.30127081202255,Epp Stade 3,Primaire,391490.81327,586052.14974,Primaire,./0.png
-3.97965205392475,5.29908125244518,Epp Marcory Sicogi 2,Primaire,391446.81318,585810.15076,Primaire,./0.png
-3.97686820426128,5.27890579945865,Epp Grands Moulins B,Primaire,391751.80949,583579.15940,Primaire,./0.png
-3.98735865153259,5.30498455610635,Epp Gbon Coulibaly 2,Primaire,390593.81733,586464.14907,Primaire,./0.png
-3.97424402158783,5.30304253950895,Epp Gfci 2,Primaire,392046.81126,586247.14834,Primaire,./0.png
-3.97226803264648,5.30895217025275,Epv St. Pierre d'Anoumabo,Primaire,392266.81109,586900.14545,Primaire,./0.png
-3.97404962072004,5.31142775178189,Institut Froebel,Secondaire,392069.81219,587174.14456,Secondaire,./1.png
-3.97286788457318,5.28859949962352,Epv Libanaise,Primaire,392196.80890,584650.15461,Primaire,./0.png
-3.97821615829731,5.28687250302161,Epv Eau Vive,Primaire,391603.81105,584460.15602,Primaire,./0.png
-3.96997063866085,5.28236283113358,Epv Alpha 2,Primaire,392516.80686,583960.15703,Primaire,./0.png
-3.99369540970703,5.30627691173676,Epp Municipal,Primaire,389891.82030,586608.14928,Primaire,./0.png
-3.99183983497941,5.30836027684605,Groupe Loko,Secondaire,390097.81974,586838.14812,Secondaire,./1.png
-3.99383604391494,5.30393399091242,Collège Moderne Voltaire,Secondaire,389875.82008,586349.15034,Secondaire,./1.png
-3.98999311326039,5.31034412758217,Epv des Yorouba,Primaire,390302.81916,587057.14700,Primaire,./0.png
-3.99331992585897,5.30847548748822,Epv les Fauvettes,Primaire,389933.82041,586851.14825,Primaire,./0.png
-3.98102316732217,5.31020466380505,INJS,Professionnelle,391296.81514,587040.14596,Secondaire,./1.png
-3.97754160778211,5.30552476866816,Collège Moderne Ste. Elysée,Secondaire,391681.81302,586522.14763,Secondaire,./1.png
-3.97361104234434,5.3079641288461,Epv Ake Gervais 1,Primaire,392117.81157,586791.14606,Primaire,./0.png
-3.96750993234905,5.30734054080631,Epv Ake Gervais 2,Primaire,392793.80878,586721.14560,Primaire,./0.png
-3.964153395005,5.30756286923284,Epv Alliodan,Primaire,393165.80731,586745.14510,Primaire,./0.png
-3.98540056403376,5.29363597953023,Ecole de Commerce,Professionnelle,390808.81506,585209.15389,Secondaire,./1.png
-3.98539801735051,5.29202594149938,CETIB,Professionnelle,390808.81487,585031.15461,Secondaire,./1.png
-3.97792557564466,5.29145887796334,Collège Sevigne,Secondaire,391636.81148,584967.15395,Secondaire,./1.png
-3.97700339655426,5.29032968102015,Cours Electronique,Professionnelle,391738.81094,584842.15434,Secondaire,./1.png
-3.9812246347017,5.28918332380163,Collège Bougainville,Secondaire,391270.81267,584716.15536,Secondaire,./1.png
-3.97747634253579,5.28694603013901,Epv St Paul,Primaire,391685.81074,584468.15590,Primaire,./0.png
-3.9722495442002,5.28556127587713,Collège Moderne Descartes,Secondaire,392264.80826,584314.15588,Secondaire,./1.png
-3.97193635656575,5.28725322201505,Epv les Oisillons,Primaire,392299.80832,584501.15509,Primaire,./0.png
-3.97462758764433,5.27132038175384,Collège Moderne Notre Dame d'Afrique,Secondaire,391998.80758,582740.16249,Secondaire,./1.png
-3.97606836036142,5.28674925129013,Collège ISAFOP,Secondaire,391841.81009,584446.15582,Secondaire,./1.png
-3.9915417653898,5.30252662680981,Collège Moderne Berethe,Secondaire,390129.81888,586193.15069,Secondaire,./1.png
-3.98144026851646,5.29432065131039,Centre Educatif,Professionnelle,391247.81339,585284.15310,Secondaire,./1.png
-3.97525448899212,5.28562892460213,Cours de Danse Classique,Professionnelle,391931.80959,584322.15622,Secondaire,./1.png
-3.97769509113976,5.28833864677686,Epv la Sentinelle,Primaire,391661.81100,584622.15531,Primaire,./0.png
-3.98612908065194,5.30351215389373,Epv la Ruche,Primaire,390729.81660,586301.14958,Primaire,./0.png
-3.98709271144814,5.30230760945923,Collège Moderne  Alfred Nobel,Secondaire,390622.81688,586168.15024,Secondaire,./1.png
-3.97367202612491,5.30080927315945,GS Municipal,Primaire,392109.81073,586000.14926,Primaire,./0.png
-3.972214351509,5.30347990173576,Lycée Municipal,Secondaire,392271.81041,586295.14789,Secondaire,./1.png
-3.98996286604742,5.30782114083805,Cours Lamartine,Secondaire,390305.72508,586778.21062,Secondaire,./1.png
-3.9850052954995,5.30935486705328,Collège Montaigne,Secondaire,390855.37931,586946.89683,Secondaire,./1.png
-3.97749825123618,5.28113049482966,GS Paul Langevin,Secondaire,391682.37254,583825.22099,Secondaire,./1.png
-3.97165981075377,5.28676351723362,ISFOP,Professionnelle,392330.37064,584446.96778,Secondaire,./1.png
-3.98448852449278,5.30943483566583,Institut ISTTA,Professionnelle,390912.66034,586955.64673,Secondaire,./1.png
-3.98622655329684,5.31002452375747,Groupe Loko,Professionnelle,390720.16119,587021.14668,Secondaire,./1.png
-3.96801974544914,5.31292516712673,Cours Victor Lobad,Secondaire,392738.27843,587338.64316,Secondaire,./1.png
-3.98586276501069,5.29525320096373,Institut de Perfectionnement des Cadres,Professionnelle,390757.87797,585388.02823,Secondaire,./1.png
-3.96354152166462,5.31196263307777,Epv Patriote,Primaire,393234.37007,587231.45555,Primaire,./0.png
-3.96775618539102,5.31154787980784,Epp Alliodan1,Primaire,392767.24690,587186.33125,Primaire,./0.png
-3.97069626908426,5.28676728610073,ESCT,Professionnelle,392437.15146,584447.21766,Secondaire,./1.png
-3.97062433678439,5.28656953436762,Cours Tidjane,Professionnelle,392445.08891,584425.34274,Secondaire,./1.png
-3.97300780531029,5.3036109407721,Epp Pilote,Primaire,392183.90453,586309.77293,Primaire,./0.png
-4.02125945820947,5.32264769133842,Collège Moderne du Plateau,Secondaire,386840.20965,588423.02040,Secondaire,./1.png
-4.02220082281009,5.32831682489841,Collège Notre Dame,Secondaire,386736.92954,589049.95547,Secondaire,./1.png
-4.02371229343815,5.33645995970372,Jardin d'Enfants,Primaire,386570.93126,589950.51450,Primaire,./0.png
-4.01261902416971,5.31902977029563,Gecos Formation,Professionnelle,387797.04908,588021.45843,Secondaire,./1.png
-4.01814611749727,5.31899693096403,Chambre de Commerce,Professionnelle,387184.55155,588018.83415,Secondaire,./1.png
-4.01974719692695,5.326987308705,CESTIA,Professionnelle,387008.58453,588902.51826,Secondaire,./1.png
-4.02013391755884,5.32995458363153,CSP Plateau,Secondaire,386966.27258,589230.64197,Secondaire,./1.png
-4.02208872227448,5.32942333596134,Cours Supérieur de Bureautique et de Séc,Professionnelle,386749.55463,589172.26746,Secondaire,./1.png
-4.02123733701951,5.33794463927078,Epp Amon d'Aby Cathérine,Primaire,386845.46158,590114.20101,Primaire,./0.png
-4.02269432690495,5.33820565496245,Ecole Maternelle du Commandement Supérie,Primaire,386684.05602,590143.32608,Primaire,./0.png
-4.02545609528421,5.32618695522886,Groupe IFPG-ISFPT,Professionnelle,386375.80573,588815.08185,Secondaire,./1.png
-4.0261620515301,5.32727457884771,Groupe ETEP,Professionnelle,386297.77494,588935.45645,Secondaire,./1.png
-4.02559400724287,5.33027904985309,Groupe ESAM,Professionnelle,386361.27506,589267.51752,Secondaire,./1.png
-4.0270251808643,5.32943943130805,IFPG-ISFPT,Professionnelle,386202.52560,589174.95558,Secondaire,./1.png
-4.02529869262453,5.32496669921793,Epp Plateau RAN,Primaire,386393.02425,588680.14487,Primaire,./0.png
-4.0257293103608,5.32548042047741,CAFOP Supérieur d'Abidjan,Professionnelle,386345.39951,588737.01970,Secondaire,./1.png
-4.02011211153679,5.32545073769574,Groupe Pigier,Professionnelle,386967.86574,588732.70650,Secondaire,./1.png
-3.9773781518442,5.25767702334939,Epp Petit Bassam 1&2,Primaire,391691.61963,581232.29385,Primaire,./0.png
-3.98705196511955,5.26406296339648,Epp Collectif,Primaire,390620.62466,581939.97972,Primaire,./0.png
-3.98568195263919,5.26556210976115,Epp Chapelle,Primaire,390772.71799,582105.47889,Primaire,./0.png
-3.98481927667088,5.26262096021007,Epp Vridi Cité,Primaire,390867.81100,581780.16758,Primaire,./0.png
-3.9843853273938,5.25867681093766,Epp Cie,Primaire,390915.21658,581344.04427,Primaire,./0.png
-3.99665734916978,5.25567977687231,Epp Vridi,Primaire,389554.62785,581014.85961,Primaire,./0.png
-3.95772940150743,5.25417700476061,Groupe Scolaire André Latrille,Primaire,393868.61059,580841.98052,Primaire,./0.png
-3.95827150397114,5.25575287563723,Collège Moderne Port Bouët,Secondaire,393808.79852,581016.29239,Secondaire,./1.png
-3.96161408140419,5.26076050275253,Centre Social,Professionnelle,393439.20683,581570.47808,Secondaire,./1.png
-3.9634382511021,5.25988934402979,Epp Selmer Hopital,Primaire,393236.89503,581474.47868,Primaire,./0.png
-3.96781064482095,5.2568439419543,Epv Seni Fofana,Primaire,392751.80283,581138.54305,Primaire,./0.png
-3.97003624081931,5.25719720863932,Epp Selmer,Primaire,392505.21010,581177.98067,Primaire,./0.png
-3.95746793388501,5.25061244019688,Epv Mission Catholique,Primaire,393896.98505,580447.85706,Primaire,./0.png
-3.96082656749994,5.26023709154657,Epp Soghefia II,Primaire,393526.39392,581512.47822,Primaire,./0.png
-3.93988043623427,5.25396159414142,Epp Aéroport 3&4,Primaire,395846.69649,580815.16600,Primaire,./0.png
-3.94002466822869,5.26045421349755,Epp GATL,Primaire,395831.79106,581532.97565,Primaire,./0.png
-3.94272205311265,5.25651091361399,Epp Aéroport 1&2,Primaire,395532.19803,581097.47771,Primaire,./0.png
-3.96741668618769,5.26248143177208,Ecole Maternelle,Primaire,392796.42834,581761.72802,Primaire,./0.png
-4.00357357198925,5.27120937836226,G.S ESAM,Professionnelle,388790.88282,582732.97861,Secondaire,./1.png
-3.89952548027015,5.24983016690914,Lycée Municipal,Secondaire,400318.36584,580351.85068,Secondaire,./1.png
-3.90252140412123,5.24192977293043,Epp Gonzagueville,Primaire,399985.08501,579478.91699,Primaire,./0.png
-3.89742624000014,5.24138419691959,Groupe .St Cyr,Secondaire,400549.67648,579417.79165,Secondaire,./1.png
-3.9040430808678,5.24576622056262,G.S.Pédagogue,Primaire,399817.05486,579903.29047,Primaire,./0.png
-3.91259689458981,5.2458793043338,Collège St Exupery,Secondaire,398869.08986,579917.16639,Secondaire,./1.png
-3.91588824835443,5.25044523402174,Epp N'zo,Primaire,398505.06057,580422.47726,Primaire,./0.png
-3.91823726223441,5.24612205879542,Epp Etoile,Primaire,398244.02986,579944.91693,Primaire,./0.png
-3.91955498445042,5.24481759035107,Epv Sagesse Divine,Primaire,398097.78028,579800.91766,Primaire,./0.png
-4.00499351816411,5.27185664128028,Collège Néophyte,Secondaire,388633.63353,582804.79100,Secondaire,./1.png
-3.99434536012879,5.27531994908333,Epp Vridi 3,Primaire,389814.31676,583185.78814,Primaire,./0.png
-3.99914505171472,5.25507316736516,Epp Bethel,Primaire,389278.81636,580948.23518,Primaire,./0.png
-3.97355109070761,5.26177314099985,Jardin d'Enfants,Primaire,392116.46220,581684.47908,Primaire,./0.png
-3.96752132929611,5.25884734535674,Epp Port-Bouet Vridi,Primaire,392784.20920,581359.97964,Primaire,./0.png
-3.96021279345742,5.25679462030268,Epp Selmer,Primaire,393593.83074,581131.79216,Primaire,./0.png
-3.94292246095527,5.24913868849063,Ecole de Couture des Soeurs,Professionnelle,395508.75976,580282.48098,Secondaire,./1.png
-3.93973582738431,5.25530899779037,Jardin d'Enfants,Primaire,395862.94658,580964.10289,Primaire,./0.png
-3.89537785037547,5.2448470052262,Collège Pierre-Marie Curie,Secondaire,400777.23847,579800.28990,Secondaire,./1.png
-3.89770732273757,5.2399704469471,Ecole Maternelle les Petit Anges,Primaire,400518.30144,579261.54230,Primaire,./0.png
-3.90380874029296,5.24320162166619,Institut Kouezor,Professionnelle,399842.61697,579619.72907,Secondaire,./1.png
-3.91165073810692,5.24286687474802,Groupe Scolaire Ste Marie,Primaire,398973.46411,579583.98011,Primaire,./0.png
-3.92206937068362,5.24734772075703,Epv Soleil,Primaire,397819.53167,580081.04184,Primaire,./0.png
-3.92321696671211,5.24847726229054,GS Epv Silhouette,Primaire,397692.53231,580206.10397,Primaire,./0.png
-3.92677602388448,5.24579740074383,ISPD Instiutut Pierre-Dadi,Professionnelle,397297.65855,579910.41806,Secondaire,./1.png
-3.92854048054474,5.24628832050688,Epv le Jourdain,Primaire,397102.19063,579964.98055,Primaire,./0.png
-3.94356712750987,5.24919142224382,Epp Derrière Wharf,Primaire,395437.32255,580288.41853,Primaire,./0.png
-3.96306500257476,5.2601290541103,Foyer Feminin,Professionnelle,393278.30114,581500.91603,Secondaire,./1.png
-3.95934011189359,5.25293928919189,Centre Technique Feminin,Professionnelle,393689.89240,580705.41876,Secondaire,./1.png
-3.93814231567818,5.24771163238177,Centre de Formation Air Afrique,Professionnelle,396038.28875,580123.91854,Secondaire,./1.png
-4.00398552202764,5.29696190188495,Epv Ecole des Petits,Primaire,388749.82372,585580.15472,Primaire,./0.png
-4.0074467194243,5.28898753220336,Epp la Corvette,Primaire,388364.82426,584699.15871,Primaire,./0.png
-4.008650998269,5.3082516712019,Epp Avenue 8,Primaire,388234.82721,586829.15026,Primaire,./0.png
-4.00490125304482,5.30523670646724,Epp Methodiste,Primaire,388649.82516,586495.15114,Primaire,./0.png
-4.00689003994838,5.29070700916009,Epp Odah Laurent,Primaire,388426.82423,584889.15787,Primaire,./0.png
-4.0177190111887,5.30772124006305,Epp Pont Lonaci,Primaire,387229.83118,586772.15164,Primaire,./0.png
-4.00611904212513,5.28822989604689,Epp Abe Assi,Primaire,388511.82358,584615.15888,Primaire,./0.png
-4.00821138933172,5.30982623801758,Collège Moderne Bertrand,Secondaire,388283.82721,587003.14950,Secondaire,./1.png
-4.01115163671867,5.30889883389628,Epp Avenue 1 B,Primaire,387957.82840,586901.15029,Primaire,./0.png
-4.00725923854389,5.30138869628568,GS Habitat,Primaire,388387.82573,586070.15315,Primaire,./0.png
-4.01045359850095,5.31247279251315,Epp Front Lagunaire,Primaire,388035.82854,587296.14860,Primaire,./0.png
-4.00878941054607,5.310132828622,Epp Avenue 4,Primaire,388219.82751,587037.14944,Primaire,./0.png
-4.00384664187303,5.28917426991133,Ecole Normale des Infirmiers et Sages Fe,Professionnelle,388763.82269,584719.15817,Secondaire,./1.png
-3.99820801397866,5.28984366314878,Ecole Multinationale Supérieure des Post,Professionnelle,389388.82027,584792.15717,Secondaire,./1.png
-4.00842252739201,5.30091645631633,Epv les Oisillons,Primaire,388258.82619,586018.15351,Primaire,./0.png
-4.00650015013798,5.30628334074421,Collège Moderne Treich Laplène,Secondaire,388472.82600,586611.15087,Secondaire,./1.png
-4.00419296282948,5.30877167401126,Lycée Municipal,Secondaire,388728.95029,586885.83697,Secondaire,./1.png
-4.00409890034955,5.30588190929172,Collège Jean Bosco,Secondaire,388738.85614,586566.33825,Secondaire,./1.png
-4.0033432652491,5.30367555899213,INP NDP,Professionnelle,388822.19927,586322.27664,Secondaire,./1.png
-3.9975182971375,5.3004179838349,Collège Moderne de l'Autoroute,Secondaire,389467.13378,585961.08987,Secondaire,./1.png
-4.00283746865793,5.30390985637086,Epp NDP,Primaire,388878.29283,586348.08897,Primaire,./0.png
-3.9999867135254,5.30174250660385,Epp Sicogi,Primaire,389193.82254,586107.96459,Primaire,./0.png
-4.003981942561,5.30295656608088,Collège Moderne Voltaire,Secondaire,388751.29322,586242.90204,Secondaire,./1.png
